Participant,RecordedDate,ResponseId,memory_description,fictional_title,memory_label,type_of_fiction,type_of_fiction_text,times_watched,first_occured_time,first_occured_age,watched_most_recently_,times_watched,AMQ_Rehersal,AMQ_see,AMQ_hear,AMQ_Accuracy,AMQ_Live,AMQ_Strength,AMQ_Positivity,AMQ_Negativity,AMQ_Intensity,AMQ_Perspective,AMQ_Perspective_TEXT,AMQ_Switch,TALE_1,TALE_2,TALE_3,TALE_4,TALE_5,TALE_6,CES_1,CES_2,CES_3,CES_4,Thinkback_fiction,Talk_fiction,Like_reading,Often_read,Like_watching_movies,Often_watch_movies,Like_TVshows,Often_Watch_TV,Like_videogames,Often_videogames,Age,Gender,Gender_4_TEXT,Race_1,Race_2,Race_3,Race_4,Race_5,Race_6,Race_7,Race_7_TEXT,Ethnicity,Education_Level,Education_Level_7_TEXT,First_Language,First_Language_3_TEXT,Data_Agree_1,Data_Agree_2,Data_Agree_3,Data_Agree_4,Data_Agree_5,Responses_being_used,Distracted,Spent_time,Spent_time_3_TEXT,Confusing,id,memory_type,order,rehearsed_condition
21,2023-11-30 19:08:17,R_w74CESxhkLlR48V,"I got my coffee from the cafe at my school the other day, but I immediately dropped it on the ground. I was super embarrassed and rushed to clean it up, but never got another one. ",NA,coffee,NA,NA,NA,2,19,NA,NA,1,7,2,8,3,1,4,4,1,2,,1,1,1,1,1,1,1,1,1,1,1,5,6,2,2,3,3,5,4,2,2,19,2,,,,,,1,,,,2,7,sophomore,1,,1,1,1,1,1,1,1,1,,,87805,personal,rehearse_first,0
22,2023-12-01 13:19:18,R_1kM23TpGtTlv31V,"The event that I think about often is the lacrosse championship game of my senior year. It was on May 13th at 6 pm at US Lacrosse Headquarters. We were playing against Glenelg Country School in the A conference championships, a team we previously lost to 23-2. After that lost we went from #1 in the country to #2 which was devastating because we knew we shouldn't have lost, but we had a lot of injured players that game. During the championship game, hundreds of people came including students, family, and faculty from both schools. The lights shined bright on us during the game and we would score back and forth the first 15 minutes of the game. But then we kept our intensity and focus and started to pull ahead. We kept this momentum the rest of the game and beat them by 7. I remember everyone storming the field to cheer with us and me holding the trophy. It was so significant to me because it was the last year and last game with some of my best friends and I got to lead my team as captain to a championship. We also remained the number 1 team in the country for the second year in a row.",NA,"memorable, amazing, exhilarating ",NA,NA,NA,5,18,NA,NA,5,6,6,8,7,6,7,1,7,1,,1,4,5,1,3,1,4,2,3,4,2,5,6,3,3,5,3,5,5,3,3,19,2,,,,1,,,,,,2,7,sophomore,1,,1,1,1,1,1,1,1,1,,no,89590,personal,rehearse_first,1
22,2023-12-01 13:19:18,R_1kM23TpGtTlv31V,"Getting ready for my senior prom was very memorable and I think about it often. It was May 14, the day after winning the championship lacrosse game. I slept over my friends house because we had a party there after the game, but I had to wake up at 7 am to go to my hair appointment. i got a silk press with extensions and a side part. After that appointment I went home to eat and wait for the makeup artist to come and fix my face up. When she arrived, we sat in my kitchen doing my makeup. I had simple face makeup but I told her to add rhinestones along my eyelids to spice it up a little. I looked beautiful and after she left, i went to put on my dress. Of course my mom needed to take hundreds of pictures of me as we waited for my date to arrive to my house. He was very late because he lost his wallet which annoyed me because we didn't get to take many pictures but it was okay. He then drove us to the pre prom location where my friends and I would take more pictures before we left for prom.",NA,"fun, beautiful, exhilarating ",NA,NA,NA,6,17,NA,NA,5,6,6,7,6,6,5,3,6,1,,1,2,2,1,2,1,2,1,1,1,1,5,6,3,3,5,3,5,5,3,3,19,2,,,,1,,,,,,2,7,sophomore,1,,1,1,1,1,1,1,1,1,,no,89590,personal,rehearse_first,0
23,2023-11-22 12:11:27,R_PzXwcG93vvlkPnj,"My favorite activity at sleep away camp was water skiing.  When I was in the oldest age group I used to help the youngest campers during early morning ski.  There was one camper who was terrified of trying to water ski and refused to try for the first few weeks of camp.  Finally, after weeks of encouragement she agrred to try.  I got in the water to help support her.  As most people do, she fell a few times and did not get up on skis.  However, she looked at me and said ""I'm not afraid anymore.  that wasnt too bad"".  As an older camper that was one of the most rewarding experiences of my entire summer,.",NA,The emotions of learning to water ski,NA,NA,NA,6,15,NA,NA,5,3,2,5,5,5,1,6,5,1,,2,5,2,1,4,3,3,5,3,5,4,5,5,4,3,5,4,5,4,2,2,19,2,,,,1,,,,,,2,7,Sophmore,3,Swahili,1,1,1,1,1,1,1,2,,Nope,89944,personal,rehearse_second,1
23,2023-11-22 12:11:27,R_PzXwcG93vvlkPnj,"I was shopping at my local gourmet market and ordered a 1/2 pound of artichoke hearts which were very expensive.  The woman helping me was probably about 70 years old.  When she handed me the container, I walked to the checkout area and joined the line.  About 5 minutes later I looked at the container and saw she had charged me for the wrong item and it was much less expensive than what I had ordered.  I wasn't sure whether to go back and tell her or just pay the cheaper price.  I thought about it for a few minutes and then finally decided to go back to the woman and tell her.  I felt a bit annoyed because the wait was already so long, but also didn't want to feel guilty about not paying the proper amount.",NA,Getting charged incorrectly for groceries,NA,NA,NA,5,17,NA,NA,2,6,5,7,3,4,2,4,1,1,,1,2,2,1,1,1,1,1,1,1,1,5,5,4,3,5,4,5,4,2,2,19,2,,,,1,,,,,,2,7,Sophmore,3,Swahili,1,1,1,1,1,1,1,2,,Nope,89944,personal,rehearse_second,0
24,2023-11-22 12:28:43,R_3EYXMREDhXvVMyD,"Struggling with classes because it is a lot more fast-paced than the classes I took during high school. I thought AP classes and dual-enrollment classes would help me prepare for college, but it doesn't feel like they did. I'm catching up and getting the hang of it, but it was a huge shock at first.",NA,Transition from high school to college courses was tough on me.,NA,NA,NA,4,18,NA,NA,5,5,4,5,5,3,3,5,5,1,,2,4,2,1,4,3,3,3,4,4,3,4,2,3,2,4,3,5,5,1,1,18,2,,,,,,1,,,,1,7,First year,3,Spanish,1,1,1,1,1,1,1,1,,N/A,91585,personal,rehearse_second,1
24,2023-11-22 12:28:43,R_3EYXMREDhXvVMyD,"I'm a few weeks pregnant and the only person who knows is my partner. We don't wish to keep the baby, but we haven't had the chance to follow through with the procedure. The cost is something we may not be able to cover, and its worries me that we won't be able to get the procedure done.",NA,worried about unwanted pregnancy,NA,NA,NA,4,18,NA,NA,2,5,4,6,6,6,2,5,5,3,,1,1,1,1,3,4,5,4,3,3,4,4,2,3,2,4,3,5,5,1,1,18,2,,,,,,1,,,,1,7,First year,3,Spanish,1,1,1,1,1,1,1,1,,N/A,91585,personal,rehearse_second,0
25,2023-11-22 13:54:42,R_2tLpuXp989OGDL1,"It was December 17th, 2023. The clock strikes 1pm and I freeze. I had been hysterically crying the whole day and it was time for the Duke Early Decision acceptances to be released. I was surrounded by my parents and I was too scared to press the button to see my fate. Through my tears, I looked at my parents and told them I was too nervous to look. They told me I had to, so I reluctantly pressed the ""View Decision"" button. Without even reading what it said, I saw confetti drop from the screen. I did it. I got into Duke University. I screamed and my parents hugged me. My dog jumped up on me and my nervous tears turned to happy ones. My dad threw confetti in the air as I screamed repeatedly ""I'm going to Duke. Oh my gosh I'm going to Duke."" Best day ever.",NA,Getting into Duke,NA,NA,NA,5,17,NA,NA,7,7,7,7,7,7,7,1,7,1,,2,2,5,1,3,5,3,5,2,5,3,4,4,2,2,3,3,5,4,1,1,18,2,,,,,,1,,,,2,7,2027,1,,1,1,1,1,1,1,2,1,,,91531,personal,rehearse_second,1
25,2023-11-22 13:54:42,R_2tLpuXp989OGDL1,"I was sitting in my dorm room when my friends come running to the door. It was around Halloween, so there was a bunch of decorations around my dorm in general. So, my friends coming running into my room and scream oh my gosh there was been a murder come outside and look at what happened. Everyone else who was in my room kind of stared at each other like what is going on. We all ran outside to for to find my friends had taken the halloween decorations from the lobby and made a crime scene outside my door. It was so funny and we all started hysterically laughing. The severed foot and hand they used still sits in my room to this day.",NA,The Halloween Incident,NA,NA,NA,3,18,NA,NA,3,5,6,7,3,1,7,1,3,1,,3,1,1,1,1,4,1,3,1,3,1,4,4,2,2,3,3,5,4,1,1,18,2,,,,,,1,,,,2,7,2027,1,,1,1,1,1,1,1,2,1,,,91531,personal,rehearse_second,0
26,2023-11-22 16:44:05,R_2qvDsfDnUXGm1oh,This event is about my first experience in an American classroom after migrating from Nairobi Kenya. I was extremely overwhelmed and felt like I didn't belong at all. People were talking so fast and I could hardly understand what they were saying. ,NA,First Day in American Classroom,NA,NA,NA,8,5,NA,NA,5,3,2,5,5,5,1,6,5,1,,2,5,2,1,4,3,3,5,3,5,4,5,5,4,3,5,4,5,4,2,2,19,2,,,,1,,,,,,2,7,Sophmore,3,Swahili,1,1,1,1,1,1,1,2,,Nope,89944,personal,rehearse_second,1
26,2023-11-22 16:44:05,R_2qvDsfDnUXGm1oh,"I am walking into the Wellness Center at Duke for my Tuesday Yoga class that I teach. I begin setting up the room. Turning on the lights, connecting to the bluetooth speaker and getting the yoga mats out. I wait patiently for my students to come. The longer I wait the more I realize no one is coming. So there I am alone in the room and that was all.",NA,An Empty Yoga Class,NA,NA,NA,3,19,NA,NA,2,6,5,7,3,4,2,4,1,1,,1,2,2,1,1,1,1,1,1,1,1,5,5,4,3,5,4,5,4,2,2,19,2,,,,1,,,,,,2,7,Sophmore,3,Swahili,1,1,1,1,1,1,1,2,,Nope,89944,personal,rehearse_second,0
27,2023-11-23 13:42:43,R_1qVaxu1esrnQdRw,I was walking in the hallway of my friends dorm and we were laughing loudly and a dorm room door swung open and all of the basketball players were in there and they invited us in and we got to talk to them for about a half hour,NA,Basketball Boys,NA,NA,NA,4,18,NA,NA,7,7,5,6,7,5,6,2,4,1,,1,1,4,1,1,1,2,3,3,4,3,6,6,2,3,5,5,2,3,1,1,18,2,,,,,,1,,,,2,7,2027,1,,1,1,1,1,1,1,1,1,,-,91579,personal,rehearse_second,1
27,2023-11-23 13:42:43,R_1qVaxu1esrnQdRw,I was around 6 or 7 and I cartwheeled onto the soccer field in middle of one of my games and felt embarrassed.,NA,Soccer Cartwheel,NA,NA,NA,8,6,NA,NA,2,5,2,3,3,1,3,4,2,2,,1,1,3,1,3,2,1,1,1,1,1,6,6,2,3,5,5,2,3,1,1,18,2,,,,,,1,,,,2,7,2027,1,,1,1,1,1,1,1,1,1,,-,91579,personal,rehearse_second,0
28,11/21/23 18:39,R_R2MjsbojeNWGgBr,"In the movie Frozen, there is a scene that takes place in the forest. It is snowy, the trees and ground are covered in snow. There is a reindeer named Sven, a man named Christoph, a woman named Anna, and a snowman named Olaf. In this scene Olaf introduces himself to the rest of the crew and says ""Hi, I'm Olaf and I like warm hugs"".",Frozen,Olaf's Introduction,2,,1,8,12,4,5,6,8,8,8,6,8,8,1,6,2,,1,3,4,1,3,5,4,3,4,2,4,6,5,4,3,5,4,3,2,1,2,18,2,,,,1,,1,,,,2,7,Freshman,1,,1,1,1,1,1,1,1,2,,No,90484,fiction,rehearse_first,1
28,11/21/23 18:39,R_R2MjsbojeNWGgBr,"In the movie Cinderella, Cinderella runs from the ball and loses her glass slipper on the stairs of a kingdom. The Prince sees the shoe and tries to return it to her, but it is too late and she has already disappeared. Cinderella is running away because her magical potion is about to wear off that the Fairy Godmother gave her.",Cinderella,Cinderella's Slipper,2,,1,8,9,7,2,3,3,1,3,3,3,5,3,1,2,,2,2,1,1,1,3,1,1,2,1,2,6,5,4,3,5,4,3,2,1,2,18,2,,,,1,,1,,,,2,7,Freshman,1,,1,1,1,1,1,1,1,2,,No,90484,fiction,rehearse_first,0
29,11/21/23 20:49,R_3O7JoH2gBWJuSUW,"In the show Parks and Recreation, Leslie Knope is running a political campaign, and hosts an event at an ice rink. Her and her campaign staff (her friends), go to walk to the wooden podium Ron made, but Tom didn't created a red carpet long enough to get to the podium. So, the entire group had to help Leslie get to the podium while slipping on the ice. Ron was holding April and Andy's three-legged dog. The song ""Get on your Feet"" keeps repeating, and everyone feels overwhelmed and exhausted. ",Parks and Recreation. ,Parks and Rec Ice Scene ,3,,1,7,13,6,4,4,6,6,8,2,4,5,2,3,2,,2,1,1,1,1,1,1,1,1,1,1,6,6,3,3,4,3,5,4,1,1,18,2,,,,,,1,,,,2,5,,1,,2,2,2,2,2,1,1,1,,No!,90640,fiction,rehearse_first,1
29,11/21/23 20:49,R_3O7JoH2gBWJuSUW,"In the show Gilmore Girls, Rory is sitting at her grandparents' dining room table with her mother (Lorelei) and grandparents (Emily and Richard), and is telling them where she applied to college. She says she applied to all the Ivy Leagues, and some saftey schools. Her mom is upset she applied to schools besides Harvard, since it has always been her dream, while her grandparents are happy she applied to Yale, since it is Richard's alma mauter. ",Gilmore Girls ,Gilmore Girls Dining room,3,,1,7,15,7,2,2,3,2,3,2,2,2,2,1,2,,2,1,1,1,1,1,1,1,1,1,1,6,6,3,3,4,3,5,4,1,1,18,2,,,,,,1,,,,2,5,,1,,2,2,2,2,2,1,1,1,,No!,90640,fiction,rehearse_first,0
30,11/22/23 10:07,R_OvwpiETTIXtMp2N,"In this event, an astronaut who has spent many years on another planet sees a video of his daughter. Due to the time difference on that planet and earth, this astronaut is still young while his daughter has aged and is now old and sick. I am not sure if he sees a video of his daughter young or old, but it is a very emotional and touching scene when he starts crying, knowing he will probably witness his child's death, or that he won't be able to see her at all again. Starting the mission, he was not anticipating the inability to get back home to earth. ",Interstellar,Realizing a harsh reality,2,,1,7,17,6,2,4,6,5,8,3,4,1,8,8,2,,1,2,1,1,4,2,3,1,3,1,3,6,5,5,4,5,5,5,5,2,2,19,2,,,,,,,,1,Middle Eastern White,2,7,Sophomore,3,Farsi,1,1,1,1,1,1,2,1,,N/A,91288,fiction,rehearse_first,1
30,11/22/23 10:07,R_OvwpiETTIXtMp2N,"In this event, the magus meets with a god in the house of a woman known to be evil. Although he is not aware at that point, he will later learn that the dog has been possessed by an evil spirit, and is an enemy of the magus in the road of Santiago, which he must pass to find his power. In the event, the dog keeps staring at the magus and the magus is unable to stop staring back. The dog does not attack him, but there is something about it that confuses and worries the magus. Finally, the magus is told to leave the house by his guide. He is also told by his guide later about the dog's spirit. ",The diary of a magus,The evil and the magus,1,,3,3,19,NA,NA,1,5,4,8,2,5,1,5,6,1,,2,1,1,1,1,1,1,1,1,1,1,6,5,5,4,5,5,5,5,2,2,19,2,,,,,,,,1,Middle Eastern White,2,7,Sophomore,3,Farsi,1,1,1,1,1,1,2,1,,N/A,91288,fiction,rehearse_first,0
31,11/22/23 11:47,R_esSgHluYeWRBLGN,"The part of the movie where her “mother”, who locks her up in a tower asks her to let down her hair that is long enough to rope her “mother” up the tower.  She also has magic hair that is linked to a specific song that brings youth back to her “mother”, so keeping her hair this long is essential.",Raponzel,Recall,2,,1,8,11,6,5,6,6,5,8,6,5,6,4,5,2,,1,2,4,1,2,3,1,2,2,2,3,5,4,1,1,5,3,4,3,1,1,18,2,,,,,,1,,,,2,7,Freshman,1,,1,1,1,1,1,1,2,1,,,91333,fiction,rehearse_first,1
31,11/22/23 11:47,R_esSgHluYeWRBLGN,"There is this girl named Coraline who wishes her life was better.  One night in her new house she found a secret tunnel that brought her to her ideal world, but this world had people with button eyes.  Little did she know it was a secretly evil world.",Coraline,Vaguely remember ,2,,1,8,9,7,2,2,3,4,3,3,4,3,4,6,2,,1,3,2,1,2,2,2,1,2,2,2,5,4,1,1,5,3,4,3,1,1,18,2,,,,,,1,,,,2,7,Freshman,1,,1,1,1,1,1,1,2,1,,,91333,fiction,rehearse_first,0
32,11/22/23 16:13,R_2OUOwZjqJ7dl2TQ,I remember this scene where Harry looks in the Mirror of Erised and sees his dead parents in it with him and there was sentimental music playing in the background. He smiles and they smile and its happy but sad.,Harry Potter and the Sorcerer's Stone,Harry Mirror Scene,2,,1,8,12,7,3,3,3,2,5,3,3,2,2,2,3,,2,1,1,1,2,2,1,2,2,2,2,6,5,4,4,4,3,5,5,2,2,19,2,,,1,,,,,,,2,7,2026,1,,1,1,1,1,1,1,2,1,,,89992,fiction,rehearse_first,1
32,11/22/23 16:13,R_2OUOwZjqJ7dl2TQ,Circe turns men into pigs as a form of revenge for soldiers taking advantage of her previously.,Circe,Circe Transforms Men,1,,3,6,19,NA,NA,2,1,1,3,1,3,1,1,2,4,,3,1,1,1,1,2,1,1,1,1,2,6,5,4,4,4,3,5,5,2,2,19,2,,,1,,,,,,,2,7,2026,1,,1,1,1,1,1,1,2,1,,,89992,fiction,rehearse_first,0
33,11/22/23 19:18,R_XAhzLVOu35eGeaJ,"One of the earliest memories of fiction I have is from Harry Potter and The Prizoner of Azkaban. I had not read the book yet, but I walked in on my grandmother and dad watching the movie during the scene where Aunt Marge blew up. I remember her face gradually filling with air as her necklace burst. She began to float in the air, clutching onto the table to keep her grounded; her stockings split as her legs began to inflate. I remember feeling terrified.",Harry Potter and The Prisoner of Azkaban,Early exposure to fictional movies,2,,1,9,4,7,5,5,5,5,8,3,1,3,6,6,3,,1,2,2,1,2,2,2,2,2,2,2,7,6,5,3,5,4,5,3,1,1,19,2,,,,,,1,,,,2,6,,1,,1,1,1,1,1,1,2,2,,No,90787,fiction,rehearse_first,1
33,11/22/23 19:18,R_XAhzLVOu35eGeaJ,"I remember when in the Little House on the Prairie Mary lost her sight. She was upstairs presumably and shouted down to her father, exclaiming that everything she saw was black; she couldn't see anything anymore. Her father and mother rushed upstairs and cradled her as she cried. Her eyes were a bright, light blue. ",The Little House on the Prairie,TV Show Memory,3,,3,9,9,NA,NA,5,5,3,8,6,6,2,4,7,2,,3,4,3,1,4,4,4,3,4,2,4,7,6,5,3,5,4,5,3,1,1,19,2,,,,,,1,,,,2,6,,1,,1,1,1,1,1,1,2,2,,No,90787,fiction,rehearse_first,0
34,11/23/23 17:35,R_1kRBpu9cg4WA9Yo,"In the first hunger games movie, Katniss is cornered in a tree, surrounded by Cato, Glimmer, Clove, Marvel, and Peeta. Peeta suggets that the group stay the night to wait her out (either she'll come down and die, or she'll starve to death). In early morning in a nearby tree, another tribute, Rue, motions to Katniss to cut down a nest full of tracker jackers onto the group below her. Katniss slowly moves up the tree and begins sawing through the branch with the nest on it until it falls onto the group below. As it breaks on the ground, the whole group wakes up and begins to run. Glimmer trips and falls to the ground and is killed by the tracker jackers. Katniss gets out of the tree and steals Glimmer's bow and arrow as Peeta tells her to run.",The Hunger Games (Lionsgate Movie),Tracker Jacker Movie Scene,2,,1,8,10,5,5,5,8,8,8,5,5,4,5,8,2,,1,2,2,1,2,2,2,4,2,4,2,7,7,4,4,4,4,4,5,2,2,18,2,,,,,,1,,,,2,7,Freshman,1,,1,1,1,1,1,1,1,1,,,90562,fiction,rehearse_first,1
34,11/23/23 17:35,R_1kRBpu9cg4WA9Yo,"Carrie comes home from the prom infuriated and covered in blood. She begins to fight with her mom in the kitchen, using telekenisis to smash items aganst the walls. Her mom begins reciting bible verses and praying and CArrie eventually kills her with a knife.",Carrie (Stephen King),Carrie Kills Her Mother,1,,3,6,17,NA,NA,2,3,3,5,2,2,3,5,6,2,,1,2,2,1,2,3,3,1,1,1,2,7,7,4,4,4,4,4,5,2,2,18,2,,,,,,1,,,,2,7,Freshman,1,,1,1,1,1,1,1,1,1,,,90562,fiction,rehearse_first,0
35,11/21/23 19:10,R_1H8GiL3y54ScNZU,"Jess and Nick finally deciding to confess their love for each other after years She tries to go downstairs to meet up with him and he tries to go upstairs to meet up with her. Thye end up meeting in the elevator and kissing. They dated in the past and were roommates; however, their relationship did not last. They tried dating other people but then they just came back to one another. ",New Girl,Jess and Nick finally getting together.,3,,1,7,16,7,3,4,5,5,6,3,3,6,1,5,2,,2,4,2,1,2,4,2,2,2,2,4,6,5,5,3,4,4,4,4,1,1,19,2,,,,,,,,1,Multiracial ,2,7,Freshmen ,1,,1,1,1,1,1,1,1,1,,,91189,fiction,rehearse_second,1
35,11/21/23 19:10,R_1H8GiL3y54ScNZU,"In the show, Outer Banks, in the season finale character JJ sneaks into Kiara's camp and kisses her in front of everyone there. JJ is blonde as known as a bid of a bad boy, Kiara comes from a rich family, but she is trying to fit into his world and his groups of friends. Over the course of the show, you could tell they had some type of romantic attraction, but it was a bit forbidden. ",Outer Banks ,JJ finally kissing Kiara ,3,,3,6,18,NA,NA,1,4,2,5,2,2,5,1,2,2,,2,3,3,1,3,4,2,2,2,2,2,6,5,5,3,4,4,4,4,1,1,19,2,,,,,,,,1,Multiracial ,2,7,Freshmen ,1,,1,1,1,1,1,1,1,1,,,91189,fiction,rehearse_second,0
36,11/22/23 20:01,R_2VR5dz4egKir3GZ,Coriolanus Snow sends water into the arena to help kill Lucy's competitors.,Hunger Games Ballad of Songbirds and Snakes,Not sure,2,,3,3,19,NA,NA,4,5,5,5,4,3,3,3,3,3,,1,1,1,1,1,2,1,1,1,1,1,6,5,4,4,4,3,4,4,1,1,19,2,,,1,,1,1,,,,2,7,Sophomore,1,,1,1,1,1,1,1,1,1,,,91708,fiction,rehearse_second,1
36,11/22/23 20:01,R_2VR5dz4egKir3GZ,Severus Snape casts a spell that kills Dumbledore and he falls off of the tower. ,Harry Potter and the Half Blood Prince ,I'm not really sure ,2,,1,8,10,6,5,2,4,5,6,4,3,3,4,3,1,,1,1,1,1,2,1,1,1,2,1,2,6,5,4,4,4,3,4,4,1,1,19,2,,,1,,1,1,,,,2,7,Sophomore,1,,1,1,1,1,1,1,1,1,,,91708,fiction,rehearse_second,0
37,11/23/23 10:34,R_2UX7EoWSAYN1o8t,"One of the main characters (Bheem) jumps out of a truck full of animals (tiger, etc.) which he has brought to rescue a little girl he knows from the clutches of the British colonizers in their castle. The release of the animals and Bheem causes complete chaos in the British people's party.",RRR,A chaotic fight with animals,2,,1,6,20,5,2,3,5,2,8,1,2,3,1,3,2,,2,1,1,1,1,1,1,1,1,1,1,6,5,2,2,5,5,2,2,1,1,20,2,,,1,,,,,,,2,7,Junior,1,,1,1,1,1,1,1,1,1,,No,90979,fiction,rehearse_second,1
37,11/23/23 10:34,R_2UX7EoWSAYN1o8t,"There were 2 overweight women; one got rejected from the job she wanted (TV sports news reporter) due to her looks, so she was crying in a bathroom stall. The other was also sad so was crying in the bathroom. They met each other and became friends.",Double XL,Fat women woes,2,,3,6,20,NA,NA,2,4,3,5,2,1,3,1,1,2,,2,1,3,1,2,1,1,1,1,1,1,6,5,2,2,5,5,2,2,1,1,20,2,,,1,,,,,,,2,7,Junior,1,,1,1,1,1,1,1,1,1,,No,90979,fiction,rehearse_second,0
38,11/30/23 12:01,R_3QJMfNG1uu982IR,the greys anatomy plane crash when they are all in a plane and it crashes in the forest. Lexi dies and Arizona loses her leg. Meredith is injured but ok. Cristina has intense PTSD after this and can't get over it. Ale wasn't on the plane.,Greys Anatomy,Greys plane crash,3,,1,7,14,6,5,6,4,5,3,1,3,1,8,6,2,,2,1,3,1,1,1,1,1,1,1,3,6,5,3,2,4,3,5,5,1,1,19,2,,,,,,1,,,,2,7,sophomore,1,,1,1,1,1,1,1,1,2,,nope!,90148,fiction,rehearse_second,1
38,11/30/23 12:01,R_3QJMfNG1uu982IR,In the notebook when Noah and Allie are in love and she leaves her fiance to go live with noah and she comes to his house and runs into his arms. They are in this field and there is a big white house in the background. He is standing at the house wrapped in a red blanket and she runs into his arms,The notebook,Noah and Allie Love,2,,1,8,12,6,2,2,5,6,8,3,2,6,1,3,2,,2,2,2,1,2,2,2,1,2,1,3,6,5,3,2,4,3,5,5,1,1,19,2,,,,,,1,,,,2,7,sophomore,1,,1,1,1,1,1,1,1,2,,nope!,90148,fiction,rehearse_second,0
39,11/30/23 18:50,R_3I0RPw651xNUrFH,"It is a late-summer afternoon in California, and it is pouring rain outside. Dante, a young Mexican American boy, sees an injured animal on the road and walks onto the road to help it. Simultaneously, a car, that he fails to see, is speeding down that same road. Aristotle, Dante's friend, notices the oncoming car and launches himself toward Dante. Aristotle pushes Dante out of the way of the vehicle which causes him to be hit by the car. ",Dante and Aristotle Discover the Secrets of the Universe,Recollection of a major plot point. ,1,,1,7,16,6,2,5,5,3,5,3,5,8,1,6,2,,1,1,3,1,1,3,1,1,3,1,4,6,5,5,4,2,2,3,2,1,1,19,2,,,,,,,,,,1,7,1,3,spanish,1,1,1,1,1,1,1,2,,no.,90976,fiction,rehearse_second,1
39,11/30/23 18:50,R_3I0RPw651xNUrFH,"The ghost of a man, who was once a high-earning man at a corporate law firm that died from a heart stroke, arrives in a tea shop. He was guided there by a young Chinese woman whose job is to bring the dead to this tea shop. The tea shop has three floors and looks like poorly stacked Jenga pieces. He arrives at the tea shop where he is served peppermint tea. He reluctantly and bitterly drinks the tea and is immediately transported back to a memory of his mother and his childhood home.  ",Under the whispering door,recounting of a major plot point in the storyline. ,1,,3,6,18,NA,NA,1,5,1,5,1,3,8,1,5,2,,1,1,3,1,3,1,1,1,3,1,3,6,5,5,4,2,2,3,2,1,1,19,2,,,,,,,,,,1,7,1,3,spanish,1,1,1,1,1,1,1,2,,no.,90976,fiction,rehearse_second,0
40,12/1/23 16:35,R_86QK4AlJMpc7qSt,"Coriolanus Snow shoots trees in the woods, yelling for Lucy Gray and trying to kill her when only a moment ago they were running away together. She starts singing the Hanging Tree Song that the Mockingjays pick up and echo through the woods.",Ballad of Songbirds and Snakes,End of Ballad of Songbirds and Snakes,1,,3,4,19,NA,NA,5,6,6,6,1,5,2,3,3,3,,1,1,1,1,1,1,1,1,1,1,1,6,6,4,2,5,3,5,5,1,1,19,2,,,,,,1,,,,1,7,Sophomore,3,Spanish,1,1,1,1,1,1,1,2,,No,87655,fiction,rehearse_second,1
40,12/1/23 16:35,R_86QK4AlJMpc7qSt,Tris is first jumper into Dauntless headquarters. Eric calls for volunteers and she is the first to volunteer and jump and hits a net at the bottom. ,Divergent,First Jumper Tris,1,,1,8,9,7,4,2,5,3,3,1,1,2,2,1,2,,1,1,1,1,1,1,3,1,1,1,1,6,6,4,2,5,3,5,5,1,1,19,2,,,,,,1,,,,1,7,Sophomore,3,Spanish,1,1,1,1,1,1,1,2,,No,87655,fiction,rehearse_second,0